"Feature","Gain","Cover","Frequency"
"Local_Elev",0.301876766705292,0.180618270161205,0.145467420776534
"Tanana_floodplain",0.208589055885999,0.039277898994661,0.00355003121418522
"ELEV",0.155274512663273,0.142291688286334,0.170755569635586
"SLOPE",0.106035169466995,0.12370078309462,0.110619345340701
"temp_summer",0.0906431156016467,0.18807468102827,0.262981839866571
"temp_winter",0.0833582156851426,0.201387198216581,0.228180352766881
"isWetland",0.0200256579464783,0.0256251233917318,0.00662486139969997
"ABOVE_1984_adj8",0.00954797645539842,0.0148383295758192,0.00382956123105019
"ABOVE_1984_adj12",0.00722915536575304,0.0106453730344491,0.0132497227993999
"ABOVE_1984_adj15",0.0045653014514369,0.00679773103325554,0.00941084390112092
"ABOVE_1984_adj4",0.00356532084307435,0.00902455952959686,0.0108084939854458
"ABOVE_1984_adj10",0.00285056836842186,0.00929026205036903,0.00298165351322643
"ABOVE_1984_adj11",0.00256663912859238,0.00697886554576825,0.00788274647559237
"ABOVE_1984_adj6",0.00134538824031261,0.0097173922641962,0.00565582400790138
"ABOVE_1984_adj13",0.00118400798355107,0.00337976423853465,0.00862815985389898
"ABOVE_1984_adj14",0.000614531222966542,0.00793060440192386,0.00428612692526299
"ABOVE_1984_adj3",0.000337601672890348,0.00489955295749256,0.0012019790725194
"ABOVE_1984_adj7",0.000210499703052361,0.00318303380066527,0.00190080411468185
"ABOVE_1984_adj2",0.000116672984039977,0.0098407408703023,0.000959719724569757
"ABOVE_1984_adj9",0.0000505033531571505,0.000582040476176066,0.000745413378306607
"ABOVE_1984_adj1",0.0000133392725271481,0.00191610704804821,0.000279530016864978
